STATION_CODE,STATION_NAME,OBSERVED_VALUE,YEAR_MEASURED,ORDER,ENCODER,DATE_LAST_UPDATED
,10119 / MSW-4289,978224,,1,Gravity Section,
,10120 / ZGN-1A,978245,,1,Gravity Section,
,10121 / ZGN-3015,978255,,1,Gravity Section,
,10122 / QZN-38,978375,,1,Gravity Section,
,10123 / CMN-3405,978396,,1,Gravity Section,
,10124 / CMN-3399,978396,,1,Gravity Section,
,10125 / CMS-4657,978366,,1,Gravity Section,
,10126 / CMS-4655,978365,,1,Gravity Section,
,10127 / BM SR-41,978319,,1,Gravity Section,
,10128 / SRG-3418,978315,,1,Gravity Section,
,10129 / ABY-44778,978335,,1,Gravity Section,
,10130 / QZN-4911,978382,,1,Gravity Section,
,10131 / ILN-3040,978617,,1,Gravity Section,
,10132 / PMG-3365,978360,,1,Gravity Section,
,10133 / BTN-3428,978394,,1,Gravity Section,
,10134 / BTN-3426,978393,,1,Gravity Section,
,10135 / ZBS-3184,978529,,1,Gravity Section,
,10136 / PNG-3714,978376,,1,Gravity Section,
,10138 / ABR-55,978486,,1,Gravity Section,08/16/2017 0:00
,10139 / BLLM-1,978490,,1,Gravity Section,
,10140 / LUN-3057,978488,,1,Gravity Section,
,10143/EST,978295,,1,,
,10144/BLLM-10,978290,,1,,
,10145/ILO-31,978250,,1,,
,10146/ILO-5970,978251,,1,,
,10147/ILO-20,978318,,1,,
,10148/ILO-5752,978317,,1,,
,10152/ILO-4417,978231,,1,,
,10153/ILO-4416,978231,,1,,
,10154/BM-MS PCGS,978203,,1,,
,10155/TGBM-4,978216,,1,,
,10156 / MRE-4981,978338,,1,,
,10157 / MRE-4602,978354,,1,,
,10158 / MR-260,978335,,1,,
,10159 / MRW-56,978296,,1,,
,10160 / MRW-26,978309,,1,,
,10161 / MRW-32,978293,,1,,
,20001 / LA-336,978348,,2,,
,20002 / LA-335,978344,,2,,
,20003 / QZ-470,978315,,2,,
,20004 / QZ-20,978304,,2,,
,20005 / PNG-3114,978548,,2,,
,20006 / TA-257,978371,,2,,
,20007 / NJ-453,978368,,2,,
,20008 / NJ-334,978394,,2,,
,20009 / NJ-358,978405,,2,,
,20010 / NJ-92,978438,,2,,
,20011 / NVY-21,978402,,2,,
,20012 / NV-132,978423,,2,,
,20013 / NVY-3101,978448,,2,,
,20014 / SB-165,978462,,2,,
,20015 / SB-206,978504,,2,,
,20016 / QR-72,978462,,2,,
,20017 / CG-145,978517,,2,,
,20018 / CG-157,978513,,2,,
,20019 / CG-169,978513,,2,,
,20020 / CG-192,978603,,2,,
,20021 / CS-293,978352,,2,,
,20022 / AL-222,978337,,2,,
,20023 / SR-41,978329,,2,,
,20024 / LY-888,978327,,2,,
,20025 / ZGS-4107,978225,,2,,
,20026 / TBM3-NE,978214,,2,,
,20027 / AN-57,978236,,2,,
,20028 / CO-31,978161,,2,,
,20029 / NC-24,978123,,2,,
,20030 / NW-174,978250,,2,,
,20031 / STA MAY-1,978215,,2,,
,20032 / GM-6E,978348,,2,,
,20033 / 560-4A,978350,,2,,
,20034 / BB-15,978345,,2,,
,20035 / MM-83,978353,,2,,
,20036 / MM-129,978367,,2,,
,20037 / MM-133,978384,,2,,
,20038 / W-2A,978377,,2,,
,20039 / BL-80,978355,,2,,
,20040 / BL-84,978354,,2,,
,20041 / BL-210,978366,,2,,
,20042 / BL-213,978371,,2,,
,20043 / BL-218,978387,,2,,
,20044 / BL-199,978393,,2,,
,20045 / MM-21,978394,,2,,
,20046 / MM-137,978383,,2,,
,20047 / MM-28,978378,,2,,
,20048 / MM-30,978363,,2,,
,20049 / MM-137A,978370,,2,,
,20050 / BEACH A,978349,,2,,
,20051 / MMA-115(LMS),978351,,2,,
,20052 / MM-16,978364,,2,,
,20053 / MM-98,978381,,2,,
,20054 / MM-95,978411,,2,,
,20055 / MM-105,978419,,2,,
,20056 / MM-108,978396,,2,,
,20057 / GM 42M,978394,,2,,
,20058 / MM-144,978371,,2,,
,20059 / MM-72,978376,,2,,
,20060 / MM-70,978379,,2,,
,20061 / CIMA-18A,978356,,2,,
,20062 / MM-60,978353,,2,,
,20063 / GM-12M,978351,,2,,
,20064 / MM-50,978350,,2,,
,20065 / MM-45,978366,,2,,
,20066 / MM-132,978383,,2,,
,20067 / MM-91,978379,,2,,
,20068 / LN-33(PCGS 1979),978633,,2,,
,20069 / BM4A-LN,978617,,2,,
,20070 / KL-28,978425,,2,,
,20071 / SE-22,978374,,2,,
,20072 / SRG-3035,978221,,2,,
,20073 / RML-3456,978569,,2,,
,20074 / BLN 3100,978358,,2,,
,20075 / BLN 3078,978351,,2,,
,20076 / BLN 3041,978350,,2,,
,20077 / BLN 49,978340,,2,,
,20078 / BLN 3075,978338,,2,,
,20079 / BLN-3108,978345,,2,,
,20080 / BL-197,978393,,2,,
,20081 / BLN-3005,978408,,2,,
,20082 / BLN-3187,978409,,2,,
,20083 / BL-181,978401,,2,,
,20084 / BLN-3007,978395,,2,,
,20085 / BL-166,978360,,2,,
,20086 / BL-164,978352,,2,,
,20087 / BL-128,978340,,2,,
,20088 / BLN-52,978335,,2,,
,20089 / PND-59,978371,,2,,
,20090 / BLN-53,978367,,2,,
