STATION_NAME,ISLAND_GROUP,REGION,PROVINCE,CITY_OR_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_SURVEYED,PROJECT,EPOCH,LATITUDE(WGS84),LONGITUDE(WGS84),ERROR_ELLIPSE,ACCURACY_CLASS,ELLIPSOIDAL_HT(WGS84),HEIGHT_ERROR,ORDER_OF_ACCURACY(WGS84),EGM2008_ELEVATION,UTM_X(WGS84),UTM_Y(WGS84),UTM_Zone(WGS84),LATITUDE(PRS92),LONGITUDE(PRS92),ELLIPSOIDAL_HT(PRS92),NORTHING(PTM),EASTING(PTM),PTM_ZONE,UTMX(PRS92),UTMY(PRS92),UTM_ZONE,LATITUDE(ITRF),LONGITUDE(ITRF),ERROR_ELLIPSE(ITRF),ELLIPSOIDAL_HT(ITRF),HEIGHT_ERROR(ITRF),YEAR_COMPUTED,ENCODER,DATE_UPDATED,REFERENCE_FILE
BLN-50,LUZON,REGION III,BULACAN,HAGONOY,SANTO NIÑO,2007,14.83544269,120.7335324,BLN-50 Is located at Hagonoy municipal Circle which is situated in front of St. Mary's Academy. Station is located about 9 m SW of the flagpole and about 13 m NE from the end corner of the SW concrete pavement. Mark is the head of a 4 inches copper nail centered on a 0.3 m x 0.3 m x 1 m concrete monument flushed on the ground with inscriptions BLN-50 2007 NAMRIA.,2012,Reobs 2012,2012,14.8354421166667,120.733530327778,0.02,2,46.269,0.04,1,4.477210035909444,256096.58498,1641360.93848,51,14.83696830833333,120.7321761083333,4.0597,1640784.862,471174.667,3,255949.246,1641430.57,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
BTN-3,LUZON,REGION III,BATAAN,MARIVELES,MALIGAYA,1991,14.44232382,120.4986044,"BTN-3 Is in the island of Luzon, province of Bataan, municipality of Mariveles, inside the compound of the Bataan Export Processing Zone. It is located on the rooftop of Hilltop Hotel, situated at the fourth concrete roofing, right of the entrance door when facing the facade of the hotel. Mark is a 1.5 cm. brass rod set flushed about 0.1 m. from the edge of the concrete roof with cement putty, with inscriptions ""BTN-3, 1991, NAMRIA"".",2012,Reobs 2012,2012,14.4423240416667,120.498602691667,0.02,2,106.29,0.04,1,63.50364085422349,230321.30011,1598114.91952,51,14.443830175,120.4972388583333,63.53278,1597332.712,445791.951,3,230172.436,1598184.948,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
BTN-3075,LUZON,REGION III,BATAAN,ORION,CALUNGUSAN,2008,14.6411608,120.5744209,"BTN-3075 From Orani town proper, travel N along McArthur Highway towards Balanga City up to Brgy. Calungusan for about 2.3 Km.. Station is situated at Brgy. Calungusan, along McArthur Highway, 12 m NW of Km. post 130. Mark is the head of a 4 in. copper nail flushed in a cement block 20 cm x 20 cm x 100 cm embedded 1 m in the ground with inscriptions ""BTN-3075, 2008, NAMRIA"". The monument is made 20 cm above the ground surface with reference mark 1, 2, and 3. RM-1 = 12 m NW of Km. post 130. RM-2 = 5 m SW of the road centerline. RM-3 = 100 m SE of bridge.",2012,Reobs 2012,2012,14.641160875,120.574421794444,0.02,2,46.812,0.05,1,4.330396411448383,238733.90704,1620035.8759,51,14.64267814444444,120.5730627611111,4.43407,1619315.754,454008.646,3,238585.776,1620105.845,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
NEJ-145,LUZON,REGION III,NUEVA ECIJA,BONGABON,CALAANAN,2007,15.65906531,121.2310408,"NEJ-145 Is located in Purok 7, Brgy. Calaanan, along the Bongabon-Aurora Rd. in front of a lot owned by Fabros Family. It is 1.5 m. NE of the road across Km. Post 154. Mark is the head of a 4 in. copper nail centered on a 0.3 m. x 0.3 m. x 1 m. concrete monument protruding 0.2 m. above the ground, with inscriptions ""NEJ-145 2007 NAMRIA"".",2012,Reobs 2012,2012,15.6590657527778,121.231044433333,0.03,3,218.886,0.09,1,173.9193981342011,310393.15158,1732013.93154,51,15.66063329166667,121.2297103888889,177.88115,1731910.733,524627.141,3,310248.989,1732082.694,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
NEJ-3322,LUZON,REGION III,NUEVA ECIJA,CARRANGLAN,GENERAL LUNA,2008,15.95298534,121.0734823,"NEJ-3322 To reach the station from Caranglan town proper, travel E until reaching the Brgy. Gen Luna sign, turn right and travel forward until reaching the Camangahan Elementary School in Sitio Kamangahan, Brgy. Gen. Luna. Station is situated NW side the Camangahan Elementary School and 230 m SW of NEJ-3323. Station mark is the head of a 4 in. bolt screw centered on a 0.20 m x 0.20 m concrete block with inscriptions, ""NEJ-3322, 2008, NAMRIA"".",2012,Reobs 2012,2012,15.9529945027778,121.073483816667,0.03,3,283.811,0.09,1,238.9397991155849,293797.66862,1764688.97253,51,15.95458398611111,121.0721564527778,244.07015,1764422.928,507724.685,3,293654.351,1764758.496,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,TIM,2020-01-01,
ZBS-1,LUZON,REGION III,ZAMBALES,PALAUIG,BULAWEN,1989,15.40916271,119.9524851,"ZBS-1 Is located inside the Philippine Army Headquarters at the intersection of road inside the camp, approx. 4.35 km. from Masinloc/Palauig junction going to Iba; 0.85 km. SW from Bulawen Elementary School and 0.200 km. W from electric post No.162. Accessible by a two wheel drive vehicle. Station mark is 0.15 m. x 0.01 m. dia. brass rod set in a standard concrete block, 0.70 m. deep, flush with the ground surface and inscribed with the station name. Sub-surface mark is a bottle set in concrete block, top of bottle is 0.78 m. below station mark. Reference marks is 0.15 m. x 0.01 m. dia. brass rods set in concrete blocks 0.60 m. deep, flush with the ground surface and inscribed with the station name and RM numbers.",2012,Reobs 2012,2012,15.409165125,119.952490233333,0.02,2,91.452,0.05,1,49.6473035620778,816924.40148,1705753.38289,50,15.41074519166667,119.9511485666667,52.81161,1704523.089,387412.401,3,816782.162,1705822.053,50,15.40905713055556,119.9542280305556,0.0283,82.247,0.1018,2020-01-01,Aries Zafra,2023-01-01,
ZBS-3,LUZON,REGION III,ZAMBALES,SANTA CRUZ,GAMA,1989,15.80564066,119.9247053,"ZBS-3 Is accessible for all types of vehicles. It's about 5 min. drive from Sta. Cruz proper to Gama Elementary School and from this school, drive for about 350 m., then turn rigth eastward. Station is approx. 1.2 km. SE of the national road and barrio road intersection. It is at the SE end of E irrigation canal headwall. Station mark is a cross-cut on top of 0.15 m. x 0.01 m. dia. brass rod centered on a 0.25 m. x 0.25 m. x 0.70 m. concrete block flush with the ground surface and inscribed with the station name. Sub-surface mark ZBS-3 with 7-up bottle neck embedded on 15 cm. concrete foundation of irrigation canal covered with sand; 0.01 cm. deep. Reference mark RM-1, RM-3 & RM-4 are 0.15 m. x 0.01 m. brass rods with cement patties embedded on top of irrigation canal headwall. RM-2 is a concrete monument 25 cm. x 25 cm. x 60 cm. dia.",2012,Reobs 2012,2012,15.8056430055556,119.924705458333,0.02,2,46.588,0.08,1,4.987125001092771,813336.20759,1749616.49757,50,15.80724857222222,119.9233730638889,9.18966,1748414.783,384652.446,3,813195.16,1749685.532,50,15.80568752222222,119.92469675,0.021,45.176,0.0747,1999-01-01,Aries Zafra,2023-01-01,
CGY-10,LUZON,REGION II,CAGAYAN,CLAVERIA,TAGGAT NORTE,1989,18.61648452,121.0499027,"CGY-10 Is located on the highest peak of Babatquen Pt., locally known as Lakay-Lakay Pt.; about 1.7 km. N of the barangay proper of Taggat Norte. From the N to the S side of Lakay-Lakay Pt. is a slippery slope protruding to the China Sea. To reach the station by motor boat from Brgy. Taggat Norte, travel N to the S shoreline of Lakay-Lakay Pt. for about 20 min. Then from the shoreline follow the existing foot trail that leads to the station; about 500 m. from the shoreline to the station. The other way to the station is by following the existing foot trail going N from Brgy. Taggat Norte up to the 15 m. high cliff. It will take about 40 min. climb from the base of the cliff to the station. Old station mark was refurbished; 0.15 m. x 0.01 m. dia. brass rod set in standard concrete block, flush with the ground surface and inscribed with the station name. Reference marks is 0.15 m. x 0.01 m. dia. brass rod set in concrete block, 0.6 m. deep, flush with the ground surface and inscribed with the station name.",2012,Reobs 2012,2012,18.6165015916667,121.049910077778,0.0,0,130.887,0.0,1,95.03113820468434,294255.78042,2059513.10711,51,18.61825286944444,121.0486445388889,99.66101,2059186.655,505133.267,3,294121.305,2059584.801,51,0.0,0.0,0.0,0.0,0.0,1999-01-01,Aila Leana Sampana,2021-01-01,
CGY-117,LUZON,REGION II,CAGAYAN,SANTA ANA,SAN VICENTE,2007,18.50892958,122.1501335,"CGY-117 From Santa Ana Proper, travel along the nat'l. highway to Brgy. San Vicente. Follow the road until reaching Santa Ana Mun. Fishport, which is at the end of the road and right side after the Naval forces compound. Station is located on the NE corner of the port bldg.'s platform. Mark is the head of a copper nail centered and flushed on a 30 cm. x 30 cm. cement putty, with inscriptions ""CGY-117 2007 NAMRIA"".",2012,Reobs 2012,2012,18.5089501527778,122.150148344444,0.0,0,39.492,0.0,1,3.539071598883098,410291.45482,2046706.51517,51,18.51067208055555,122.1488821305556,5.28053,2047665.596,621319.553,3,410157.372,2046774.677,51,0.0,0.0,0.0,0.0,0.0,1999-01-01,RCG,2019-01-01,
CGY-3268 (BLLM-16),LUZON,REGION II,CAGAYAN,PAMPLONA,CURVA,1905,18.38127296,121.3894246,"CGY-3268 (BLLM-16) From Pamplona proper travel through national highway going to David Puzon Elem. School then turn right to the brgy. road of Pinili and travel for about 625 m., then turn right to a road and travel for about 27 m. going to the station. Mark is set on the ground approximately 27 m. W from the certerline of NIA road, about 8 m. E of the southern most G-melina tree, about 80 m. NNW of the basketball court. Mark is located approximately 13 m. NNE of the canal gate and about 3.3 m. NE from the S end of the irrigation canal. Station mark is the head of 1"" concrete nail embedded on a concrete block 40 cm. x 40 cm., 18 cm. above ground surface with inscription ""BLLM No. 16"".",2012,Reobs 2012,2012,18.3812917861111,121.389437108333,0.03,3,46.274,0.07,1,8.67918622820656,329853.70022,2033125.25364,51,18.38302217777778,121.3881666583333,13.45595,2033195.667,541017.918,3,329718.673,2033195.707,51,0.0,0.0,0.0,0.0,0.0,2020-01-01,Aila Leana Sampana,2021-01-01,
