STATION_NAME,ELEVATION_(M),DATUM,REFERENCE_TIDE_STATION,TIDAL_SERIES,Std_Dev_(+/-),ACCURACY_CLASS,ORDER_OF_ACCURACY,YEAR_SURVEYED,FIXING_METHOD,YEAR_COMPUTED_x,ENCODER,DATE_UPDATED,REFERENCE_FILE,ISLAND_GROUP,REGION,PROVINCE,CITY_or_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_COMPUTED_y
IL-720,42.8286,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.021942,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:20 AM,,VISAYAS,REGION VI,ILOILO,BADIANGAN,TINA,2013.0,10.9983055555556,122.57575,"BM-IL-720 is in the Province of Iloilo, Municipality of Badiangan, Brgy. Tina along Janiuay-Pototan road. The station is located atop the headwall of a box culvert ,5 meters from the road centerline and 100 meters from the junction to Tina National High School. It is also 700 meters from Kilometer post 43. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-720, 2013, NAMRIA"".",2016.0
IL-721,38.427,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.022839,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:27 AM,,VISAYAS,REGION VI,ILOILO,BADIANGAN,SARIRI,2013.0,10.9922777777778,122.581527777778,"BM-IL-721 is in the Province of Iloilo, Municipality of Badiangan, Brgy. Sariri along Janiuay-Pototan road. The station is located atop the headwall of a box culvert ,4 meters from the road centerline and 23 meters from Vilma Viajar residence .It is also 14 meters from a galvanized electric post,80 meters from kilometer post 40 and 300 meters from the Tina Brgy Welcome Arch. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-721, 2013, NAMRIA"".",2016.0
IL-722,36.0818,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.023198,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:33 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,PALANGUIA,2013.0,10.9864722222222,122.586944444444,"BM-IL-722 is in the Province of Iloilo, Municipality of Pototan, Brgy. Palanguia along Janiuay-Pototan road. The station is located atop the headwall of a box culvert ,6 meters from the road centerline and 30 meters from kilometer post 39. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-722, 2013, NAMRIA"".",2016.0
IL-723,45.2446,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.023557,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:39 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,PALANGUIA,2013.0,10.9836111111111,122.59575,"BM-IL-723 is in the Province of Iloilo, Municipality of Pototan, Brgy. Palanguia along Janiuay-Pototan road. The station is located atop the headwall of a box culvert ,5 meters from the road centerline and 14 meters from the waiting shed.It is also 120 meters from Palanguia Elementary School. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-723, 2013, NAMRIA"".",2016.0
IL-724,41.1509,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.023768,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:46 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,PITOGO,2013.0,10.9775555555556,122.59875,"BM-IL-724 is in the Province of Iloilo, Municipality of Pototan, Brgy. Pitogo along Janiuay-Pototan road. The station is located atop the headwall of a box culvert ,1.50 meters from RCPC post at KM.36+972 and 7 meters from Edelia Quinto residence.It is also 5 meters from the road centerline and 25 meters from kilometer post 37. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-724, 2013, NAMRIA"".",2016.0
IL-725,39.3862,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.024167,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:52 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,NASLO,2013.0,10.9562222222222,122.605694444444,"BM-IL-725 is in the Province of Iloilo, Municipality of Pototan, Brgy. Naslo along Janiuay-Pototan road. The station is located on the top of a concrete canal,5 meters from the centerline of the National road and 5 meters from the road centerline leading to Brgy. Capul-a.It is also 500 meters from the bridge. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-725, 2013, NAMRIA"".",2016.0
IL-726,27.6686,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.024207,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:48:58 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,NASLO,2013.0,10.9533333333333,122.614694444444,"BM-IL-726 is in the Province of Iloilo, Municipality of Pototan, Brgy. Naslo along Janiuay-Pototan road. The station is located atop the headwall of a box culvert ,4 meters from the road centerline and 5 meters from the lamp post.It is also 100 meters from the Kilometer post 33. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-726, 2013, NAMRIA"".",2016.0
IL-727,27.5368,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.024172,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:49:04 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,BAGACAY,2013.0,10.9474277777778,122.623297222222,"BM-IL-727 is in the Province of Iloilo, Municipality of Pototan, Brgy. Bagakay along Janiuay-Pototan National road. The station is located on the top of a concrete riprap,4.30 meters from the road centerline and 4 meters from the Islacom wooden post.It is also 40 meters from kilometer post 32. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-727, 2013, NAMRIA"".",2016.0
IL-728,26.6449,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.024065,2-Centimeter,1st Order,2013,Differential Leveling,2016,Aila Leana Sampana,2022-02-09 09:12:56,,VISAYAS,REGION VI,ILOILO,POTOTAN,BAGACAY,2013.0,10.9444166666667,122.630555555556,"BM-IL-728 is in the Province of Iloilo, Municipality of Pototan, Brgy. Poblacion along Janiuay-Pototan National road. The station is located on the top of the parapet wall of Monfort-Parcon Bridge at KM.030+838 and 4 meters from the road centerline. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-728, 2013, NAMRIA"".",2016.0
IL-729,23.7866,Mean Sea Level (MSL),Caticlan Aklan Tide Station,2008-2010,0.023762,2-Centimeter,1st Order,2013,Differential Leveling,2016,Melchor Degollado Jr,09/16/2019 8:49:17 AM,,VISAYAS,REGION VI,ILOILO,POTOTAN,PRIMITIVO LEDESMA WARD,2013.0,10.9418055555556,122.632805555556,"BM-IL-729 is in the Province of Iloilo, Municipality of Pototan, Brgy. Ledesma along Ledesma Street. The station is located atop the headwall of a box culvert ,4 meters from the road centerline and 1.50 meters from the Lamp Post.It is also 2 meters from the CHB fence of NFA,30 meters from NFA gate and 20 meters from the waiting shed. Mark is the head of a 4 in. copper nail set flush on 15 cm. x 15 cm cement putty with inscriptions ""IL-729, 2013, NAMRIA"".",2016.0
