STATION_NAME,ISLAND_GROUP,REGION,PROVINCE,CITY_OR_MUNICIPALITY,BARANGAY,YEAR_ESTABLISHED,LATITUDE,LONGITUDE,DESCRIPTION,YEAR_SURVEYED,PROJECT,EPOCH,LATITUDE(WGS84),LONGITUDE(WGS84),ERROR_ELLIPSE,ACCURACY_CLASS,ELLIPSOIDAL_HT(WGS84),HEIGHT_ERROR,ORDER_OF_ACCURACY(WGS84),EGM2008_ELEVATION,UTM_X(WGS84),UTM_Y(WGS84),UTM_Zone(WGS84),LATITUDE(PRS92),LONGITUDE(PRS92),ELLIPSOIDAL_HT(PRS92),NORTHING(PTM),EASTING(PTM),PTM_ZONE,UTMX(PRS92),UTMY(PRS92),UTM_ZONE,LATITUDE(ITRF),LONGITUDE(ITRF),ERROR_ELLIPSE(ITRF),ELLIPSOIDAL_HT(ITRF),HEIGHT_ERROR(ITRF),YEAR_COMPUTED,ENCODER,DATE_UPDATED,REFERENCE_FILE
MMA-3309,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF MAKATI,SAN ANTONIO,2014-01-21 00:00:00,14.5660541944444,121.011688311111,"Access:The station is located at Kamagong St. corner of St. Paul St. from Makati City Hall go to Chino Roces Avenue turn right at Kamagong St. and stop at the corner of St. Paul where you can see the GCP of LMS-NCR.The station was marked with a head of a 4"" stainless steel bolt embedded on the center of a 20cm. x 20cm. cement putty with inscriptions that read ""MMA 3309; 2010 ; LMS-NCR"".",2017,Reobs 2017,2017.42,14.5660542555556,121.011687591667,0.01,1,48.491,0.04,1,5.052971672620728,285778.76122,1611265.66205,51,14.56755685277778,121.0103273861111,4.83301,1610961.561,501112.875,3,285630.775,1611334.141,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3390,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF MUNTINLUPA,ALABANG,1999-11-30 00:00:00,14.4246680305556,121.03104435,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3390 2011 LMS-NCR"". ACCESS: From Alabang going to Alabang - Zapote Road, the GCP of LMS NCR MMA-3390 is located along Alabang - Zapote Road at the center island in front of DSWD Office.",2017,Reobs 2017,2017.42,14.4246680916667,121.031045047222,0.01,1,67.235,0.04,1,23.47542914392232,287730.43516,1595602.14506,51,14.42616109166667,121.0296815194444,23.12865,1595318.838,503200.498,3,287581.998,1595670.427,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3417,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF TAGUIG,UPPER BICUTAN,1999-11-30 00:00:00,14.4969485055556,121.050425416667,"STATION MARK:The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3417 2011 ; LMS-NCR"". This is located along A. Bonifacio Avenue corner Mindanao Avenue. ACCESS: From East Service Road DBP Avenue to FTI Ave. turn right at Cucumber Road, then turn right again to A. Bonifacio St. straight ahead to Lapu-Lapu St. on the right side of the road near fire hdyrant, the GCP of LMS-NCR-MMA-3417 is located.",2017,Reobs 2017,2017.42,14.4969489916667,121.050425361111,0.02,2,67.581,0.05,1,23.74744150015938,289888.4958,1603582.63016,51,14.49844623888889,121.049063575,23.63217,1603316.23,505288.716,3,289740.316,1603650.918,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3425,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF LAS PIÑAS,TALON UNO,1999-11-30 00:00:00,14.4447492944444,120.993860116667,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3425 2011 ; LMS-NCR"". This is located along Alabang Zapote Road corner J. Aguilar Ave. ACCESS: From Alabang, take the Alabang-Zapote Road, straight ahead then proceed to Las Piñas Commercial Complex, on the right side of the road near URC townhomes and fronting Jollibee where the GCP of LMS-NCR-MMA-3425 is located.",2017,Reobs 2017,2017.42,14.4447491,120.993860322222,0.01,1,61.761,0.04,1,18.34109841872208,283739.58702,1597858.95429,51,14.44624424166667,120.9924972166667,17.80218,1597540.474,499191.063,3,283591.182,1597927.376,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3494,LUZON,NCR,NCR - SECOND DISTRICT,CITY OF PASIG,MANGGAHAN,1999-11-30 00:00:00,14.5971832916667,121.089870269444,"STATION MARK: The station was marked with a head of 8 mm stainless steel bolt embedded on the center of a 25 cm x 25 cm cement putty with inscriptions that read ""MMA 3494 2011 ; LMS-NCR"". This is located along E. Amang Rodriguez Avenue near Manggahan Bridge. ACCESS: From Marcos Hi-way, proceed to E. Amang Rodriguez Avenue going to Manggahan Village, after reaching Manggahan Bridge on the end is where the GCP of LMS-NCR-MMA-3494 is located.",2017,Reobs 2017,2017.42,14.5971837555556,121.089870638889,0.01,1,55.245,0.03,1,11.02507185831887,294233.94416,1614638.15766,51,14.59868660555556,121.0885112861111,11.4851,1614407.367,509536.607,3,294086.133,1614706.412,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3554,LUZON,NCR,NCR - FOURTH DISTRICT,CITY OF PARAÑAQUE,SAN ANTONIO,2014-01-21 00:00:00,14.4656084333333,121.017904572222,"MMA-3554 The station is located on the island along Dr. A Santos Avenue, in front of Office Warehouse and Mercury Drug. Mark is the head of a 4"" copper nail set flushed and centered on a cement putty with inscriptions ""MMA-3554; 2011; LMS-NCR; PRS-92"".",2017,Reobs 2017,2017.42,14.4656083222222,121.017904288889,0.01,1,60.569,0.04,1,16.98979164850188,286352.36724,1600144.66599,51,14.46710427222222,121.0165417111111,16.61061,1599848.305,501783.333,3,286204.053,1600213.029,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3649,LUZON,NCR,NCR - FOURTH DISTRICT,PASAY CITY,BARANGAY 194,2014-01-21 00:00:00,14.5242874305556,121.000623605556,"MMA-3649 FROM PASAY CITY HALL, HEAD SOUTH ON F.B. HARRISON ST. TOWARD JOE FAGG RD. TURN RIGHT ONTO EPIFANIO DE LOS SANTOS AVE. TURN LEFT TOWARD ROXAS BLVD AND THEN TURN LEFT ONTO AIRPORT RD. AT THE ROUND ABOUT TAKE THE 5TH EXIT ONTO DOMESTIC ROAD. THE STATION IS LOCATED INFRONT OF EMISSION TESTING ABOUT 85 CM. FROM THE POST. MARK IS THE HEAD OF A 4"" COPPER NAIL SET FLUSHED AND CENTERED ON A CEMENT PUTTY WITH INSCRIPTION ""MMA-3649 2011 LMS-NCR",2017,Reobs 2017,2017.42,14.5242877944444,121.000623233333,0.01,1,47.751,0.02,1,4.400198612332929,284545.73846,1606654.25332,51,14.52578793888889,120.9992620194444,4.00122,1606340.535,499920.461,3,284397.603,1606722.728,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3819,LUZON,NCR,"NCR - MANILA, FIRST DISTRICT",PORT AREA,BARANGAY 650,2014-01-21 00:00:00,14.5886541555556,120.968556941667,"MMA-3819 The station is located at the plant box near Velco Center Wall about 3 meters NE of BPI Building and 2 meters SW corner edge of Delgado and Roberto Oca Street. Station mark is the head of 4"" stainless bolt flushed in a 20cm. x 20cm. cement putty with inscription 'MMA-3819; 2011; LMS-NCR, FLS.""",2017,Reobs 2017,2017.42,14.5886541555556,120.9685567,0.01,1,47.507,0.03,1,4.4802489283231,281152.46137,1613807.63005,51,14.59015918333333,120.9671969666667,4.01851,1613462.351,496465.518,3,281004.511,1613876.269,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-3827,LUZON,NCR,"NCR - MANILA, FIRST DISTRICT",SAN NICOLAS,BARANGAY 281,2014-01-21 00:00:00,14.6012227861111,120.972286530556,"MMA-3827 The station is located at the foot of street light footing at the sidewalk of Muelle de Binondo near Estero de Vitas. Station mark is the head of 4"" stainless bolt flushed in a 20cm. x 20cm. cement putty with inscription 'MMA-3827; 2011; LMS-NCR, FLS.""",2017,Reobs 2017,2017.42,14.6012228972222,120.972286263889,0.02,2,46.736,0.1,1,3.673985611013727,281566.80398,1615194.91765,51,14.60272865277778,120.9709268333333,3.27423,1614852.895,496867.584,3,281418.899,1615263.557,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,Aila Leana Sampana,2021-01-01,
MMA-39 (W-2),LUZON,NCR,NCR - SECOND DISTRICT,QUEZON CITY,U.P. CAMPUS,1994-01-01 00:00:00,14.6552309388889,121.059706975,"MMA-39 (W-2) Station is located at the University of the Philippines (UP) compound at Diliman, along University Ave., about 500 m. from Commonwealth Ave and about 50m north from the centerline of University Avenue. Station is the easternmost of seven aligned concrete monuments also known as the ""UP Baseline"". It is near an Acacia Tree for about 9 m.Mark is the head of a 1"" dia. brass rod with cross cut on top center of an 18"" square concrete monument, protruding about 18"" above the ground inside the vacant lot at UP. No inscription was made to the station.",2017,Reobs 2017,2017.42,14.6552308166667,121.059706713889,0.01,1,97.63,0.03,1,53.68330559987642,291038.44153,1621088.98309,51,14.65673808611111,121.0583487,54.10935,1620828.748,506285.1,3,290890.796,1621157.389,51,0.0,0.0,0.0,0.0,0.0,2017-01-01,TIM,2022-01-01,
